"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"gPhy1wUN97AESsMxRSGcgC0ShbgOhzgxmqf8W4hGQ=","gPhy1wUN97AESsMxRSGcgC0ShbgOhzgxmqf8W4hGQ=","gPhy1wUN97AESsMxRSGcgC0ShbgOhzgxmqf8W4hGQ=","","","","0","0","2019-02-06","en"
"UXVhceBCqRV1wvmpfn3AdR8Rha6Jp521Gd8QnZ4RatA=","UXVhceBCqRV1wvmpfn3AdR8Rha6Jp521Gd8QnZ4RatA=","UXVhceBCqRV1wvmpfn3AdR8Rha6Jp521Gd8QnZ4RatA=","Yemen","لا تستوحشوا طريق الحق لقلة سالكيه.","","146","231","2018-09-13","en"
"8TWzl+woKpsif2ILAikPwQu84FItoZFy23bUMULJk0E=","8TWzl+woKpsif2ILAikPwQu84FItoZFy23bUMULJk0E=","8TWzl+woKpsif2ILAikPwQu84FItoZFy23bUMULJk0E=","","","","31","23","2018-09-20","en"
"bVjg21BWjnYpWJVuJ1LI+gtmBK5i+uJ5zG472asJ4rQ=","bVjg21BWjnYpWJVuJ1LI+gtmBK5i+uJ5zG472asJ4rQ=","bVjg21BWjnYpWJVuJ1LI+gtmBK5i+uJ5zG472asJ4rQ=","","You can only be killed once, but in politics, many times.. 😐","","102","267","2018-12-06","en"
"nZCuKn6vTXr4OzE5ki3O6yHoOD1YrTErhBMPFlCS0OE=","nZCuKn6vTXr4OzE5ki3O6yHoOD1YrTErhBMPFlCS0OE=","nZCuKn6vTXr4OzE5ki3O6yHoOD1YrTErhBMPFlCS0OE=","","","","47","57","2018-06-19","en"
"LrZTvtSfgBHK1xtvnnC4h2cRL6LUHD2lBOuRIjLe4XE=","LrZTvtSfgBHK1xtvnnC4h2cRL6LUHD2lBOuRIjLe4XE=","LrZTvtSfgBHK1xtvnnC4h2cRL6LUHD2lBOuRIjLe4XE=","","İnsanlar kırılmayı hak ediyorsa parçalamayı ihmal etmeyin.😉😊","","140","281","2018-12-04","en"
"UDRkMcoGTuB82Rv2qNC+GLrFngFwOL4GNMcR3k8sNu8=","UDRkMcoGTuB82Rv2qNC+GLrFngFwOL4GNMcR3k8sNu8=","UDRkMcoGTuB82Rv2qNC+GLrFngFwOL4GNMcR3k8sNu8=","Areley Kings, England","","","1","5","2018-12-13","en"
"c15Yg0vDAEgUBaObwFBxQnqW3sWvhVtU7c05FoIhjw=","c15Yg0vDAEgUBaObwFBxQnqW3sWvhVtU7c05FoIhjw=","c15Yg0vDAEgUBaObwFBxQnqW3sWvhVtU7c05FoIhjw=","","EX Research Administrator in Oxford University 📚","","81","154","2019-01-26","en"
"an4wyZydn6RfnXOyBK29jFuR8N9lvfoHMCsv81o24gE=","an4wyZydn6RfnXOyBK29jFuR8N9lvfoHMCsv81o24gE=","an4wyZydn6RfnXOyBK29jFuR8N9lvfoHMCsv81o24gE=","United Arab Emirates","اذا لم يكن اليك انجازات كبيرة يمكنك الاشارة الي احلامك بذكاء 😀🇦🇪😀","","7","47","2019-02-04","en"
"jdo5uMQ10PPunIiWptQEqCvlO8OcVMl59uE7JBWHOk=","jdo5uMQ10PPunIiWptQEqCvlO8OcVMl59uE7JBWHOk=","jdo5uMQ10PPunIiWptQEqCvlO8OcVMl59uE7JBWHOk=","","عيوووون الحياه 😚","","22","61","2018-06-05","en"
"ShOAXzyDxdBtn1P+l6BlAXv+b20K7tWya5Wk4eHdUM=","ShOAXzyDxdBtn1P+l6BlAXv+b20K7tWya5Wk4eHdUM=","ShOAXzyDxdBtn1P+l6BlAXv+b20K7tWya5Wk4eHdUM=","","","","199","367","2018-08-25","en"
"TdldwgqNou8qcrqWhefUetOAjyGo5xp+IPy4Dvc8=","TdldwgqNou8qcrqWhefUetOAjyGo5xp+IPy4Dvc8=","TdldwgqNou8qcrqWhefUetOAjyGo5xp+IPy4Dvc8=","Yemen","يحيا اليمن السعيد🇾🇪🇾🇪🇾🇪","","94","132","2018-09-09","en"
"DLrMp0wblLg66tUNSs5oG9AYFSJ8ZfSb+40IC7fXTp8=","DLrMp0wblLg66tUNSs5oG9AYFSJ8ZfSb+40IC7fXTp8=","DLrMp0wblLg66tUNSs5oG9AYFSJ8ZfSb+40IC7fXTp8=","russia","Книга моя подруга","","34","57","2018-11-03","en"
"08JhzsVwdrNpCZ15NeQ52Ll1ktmApcah2oIG5ISfSUE=","08JhzsVwdrNpCZ15NeQ52Ll1ktmApcah2oIG5ISfSUE=","08JhzsVwdrNpCZ15NeQ52Ll1ktmApcah2oIG5ISfSUE=","","my life is mine","","104","204","2019-01-18","en"
"dU8PeGwZClHXYhRj6rf+g0L9ncSzRvA8fr9iU4nYGGI=","dU8PeGwZClHXYhRj6rf+g0L9ncSzRvA8fr9iU4nYGGI=","dU8PeGwZClHXYhRj6rf+g0L9ncSzRvA8fr9iU4nYGGI=","الجيزة, مصر","يا الله","","33","56","2018-09-20","ar"
"ynEuQ2jkexbsgkHmnPqrTk0reJWD83v1j9AYGXDwk=","ynEuQ2jkexbsgkHmnPqrTk0reJWD83v1j9AYGXDwk=","ynEuQ2jkexbsgkHmnPqrTk0reJWD83v1j9AYGXDwk=","","#Atlanta is not just a place to live, it's a lifestyle to commit","","109","96","2018-12-19","en"
"HbnVuuKFMrMAGY1qZVi5ApSqi96qSCkqJznCxI5D4b4=","HbnVuuKFMrMAGY1qZVi5ApSqi96qSCkqJznCxI5D4b4=","HbnVuuKFMrMAGY1qZVi5ApSqi96qSCkqJznCxI5D4b4=","Lille, France","J'aime la simplicité.","","13","18","2019-01-26","fr"
"SHivzJ2z7HQJKRjYKA5RntGSHUhZUz2PfrAAzM5tLo=","SHivzJ2z7HQJKRjYKA5RntGSHUhZUz2PfrAAzM5tLo=","SHivzJ2z7HQJKRjYKA5RntGSHUhZUz2PfrAAzM5tLo=","Alexandria, Egypt","TV Beauty Fashion, Arts & Culture Movies Theater Photography","","19","93","2016-12-20","en"
"7nQRNBHlRKgKrNohgh8EAYDrxW7VPHen5giMy7zd+ms=","7nQRNBHlRKgKrNohgh8EAYDrxW7VPHen5giMy7zd+ms=","7nQRNBHlRKgKrNohgh8EAYDrxW7VPHen5giMy7zd+ms=","","","","30","52","2018-08-22","ar"
"HN9192xnwXT+8+rhdth8VI2jsJdpriBl7xGywdepRQ=","HN9192xnwXT+8+rhdth8VI2jsJdpriBl7xGywdepRQ=","HN9192xnwXT+8+rhdth8VI2jsJdpriBl7xGywdepRQ=","Yemen","الابتسامة لا تكلف شيئا ولكنها تعود بالخير الكثير إنها تستغرق اكثر من لمحة بصر ولكن ذكراها تبقي طويلاً فأبتسم 😀 👷‍♂️","","26","109","2018-12-05","en"
"YwSk6WTgTNUh0Ou5wgJDvoasocBZu+5e+owR5t6A=","YwSk6WTgTNUh0Ou5wgJDvoasocBZu+5e+owR5t6A=","YwSk6WTgTNUh0Ou5wgJDvoasocBZu+5e+owR5t6A=","","تدرونَ متى أكره نفسي / لٱ هتميت بشخص وحسسني أني ولا شي بالنسبه له * إحساس يؤجع😶🤓","","25","48","2018-12-16","en"
"pz0vrQJPd9k3gq5QQ1WSP5236F1GFcYiEDUwnRKs7UM=","pz0vrQJPd9k3gq5QQ1WSP5236F1GFcYiEDUwnRKs7UM=","pz0vrQJPd9k3gq5QQ1WSP5236F1GFcYiEDUwnRKs7UM=","","-أشعر بعبئٍ كبير عندما أفكر أن كل ما حدث سيعلق في ذاكرتي الى الأبد 🇦🇪،","","16","11","2019-01-30","en"
"NpQ2AnmmXxeibY+lnIWO+7eIovmQLg78uG+KAgElvzY=","NpQ2AnmmXxeibY+lnIWO+7eIovmQLg78uG+KAgElvzY=","NpQ2AnmmXxeibY+lnIWO+7eIovmQLg78uG+KAgElvzY=","Люберцы, Россия","Я люблю кофе ☕","","108","357","2018-08-21","en"
"t8k0mCz7lzwM692thOJQvxUOMXqzesYWkV3ndJ2H6n0=","t8k0mCz7lzwM692thOJQvxUOMXqzesYWkV3ndJ2H6n0=","t8k0mCz7lzwM692thOJQvxUOMXqzesYWkV3ndJ2H6n0=","Italy","""Appassionato di calcio, NBA, tennis, scienze in generale e di attualità politica, nazionale e tutte le donne .

""","","254","857","2018-08-22","it"
"KHmTUh6uJQlBIOHctesoIX16o327Etpzc9jn4uhQyBo=","KHmTUh6uJQlBIOHctesoIX16o327Etpzc9jn4uhQyBo=","KHmTUh6uJQlBIOHctesoIX16o327Etpzc9jn4uhQyBo=","","❤","","8","25","2018-09-03","en"
"syAXnvrLIs47u62UH6HpbjSftr+yv0MVUZqL6jRRgTA=","syAXnvrLIs47u62UH6HpbjSftr+yv0MVUZqL6jRRgTA=","syAXnvrLIs47u62UH6HpbjSftr+yv0MVUZqL6jRRgTA=","","لا إله إلا الله.. محمد رسول الله","","15","42","2018-09-15","en"
"XjK+9pdHDGQSTvf20D6Jksvf8Xxvor+98+q5kLFju8=","XjK+9pdHDGQSTvf20D6Jksvf8Xxvor+98+q5kLFju8=","XjK+9pdHDGQSTvf20D6Jksvf8Xxvor+98+q5kLFju8=","Yemen","احب اليمن و جيشها","","187","458","2018-12-04","en"
"wOUvsJhXTMb0MQhQ58cK9sZAYbBgPgdtGpbJBFAufZU=","wOUvsJhXTMb0MQhQ58cK9sZAYbBgPgdtGpbJBFAufZU=","wOUvsJhXTMb0MQhQ58cK9sZAYbBgPgdtGpbJBFAufZU=","","","","120","143","2018-12-17","en"
"T5HQi0J6k2beINqma2sCbmtPDYwxiNoxqxJL8weWirg=","T5HQi0J6k2beINqma2sCbmtPDYwxiNoxqxJL8weWirg=","T5HQi0J6k2beINqma2sCbmtPDYwxiNoxqxJL8weWirg=","","","","141","391","2018-09-20","ar"
"QH1MGDrGvX3TyTcKiQaABfVJ6ZMWhCfjYV3LYBuqzg=","QH1MGDrGvX3TyTcKiQaABfVJ6ZMWhCfjYV3LYBuqzg=","QH1MGDrGvX3TyTcKiQaABfVJ6ZMWhCfjYV3LYBuqzg=","","Interested in #politics 📙","","118","273","2018-12-06","en"
"dRlQKiK8gK+DcHBSVbL4f7LbDL4oONQgUeD1vuZpEM=","dRlQKiK8gK+DcHBSVbL4f7LbDL4oONQgUeD1vuZpEM=","dRlQKiK8gK+DcHBSVbL4f7LbDL4oONQgUeD1vuZpEM=","Algeria","J'adore les nouveaux endroits, restaurants, activités et sport","","2877","3531","2017-09-30","en"
"4nSQnGzR0Y6xTVXdVO0OdT0Hog9UmKkJ+q9NedMrGU=","4nSQnGzR0Y6xTVXdVO0OdT0Hog9UmKkJ+q9NedMrGU=","4nSQnGzR0Y6xTVXdVO0OdT0Hog9UmKkJ+q9NedMrGU=","","","","0","0","2018-07-24","en"
"NlmxhsVtZ8Op8MB1RH2VOr5t+DiUKGwVA37bEG7ZHcE=","NlmxhsVtZ8Op8MB1RH2VOr5t+DiUKGwVA37bEG7ZHcE=","NlmxhsVtZ8Op8MB1RH2VOr5t+DiUKGwVA37bEG7ZHcE=","France","Je veux voyager toute ma vie :)","","92","310","2018-12-03","en"
"ZUxCRmS6LCdhATqrnORhqfyYeFEKidPwBo7kfywZhk=","ZUxCRmS6LCdhATqrnORhqfyYeFEKidPwBo7kfywZhk=","ZUxCRmS6LCdhATqrnORhqfyYeFEKidPwBo7kfywZhk=","","Living one day at a time, with a fresh baked cookie. Okay.  And with a coffee.  And maybe some chocolate. But I promise to take my vitamins. 😌🥰","","95","141","2018-12-03","en"
"w8UAu8hympHwfpDNzts3QhiI2S7gyTq5vsn2fFe3CEw=","w8UAu8hympHwfpDNzts3QhiI2S7gyTq5vsn2fFe3CEw=","w8UAu8hympHwfpDNzts3QhiI2S7gyTq5vsn2fFe3CEw=","","Я русская.. Жизнь очень трудно.,но я очень сильная 💪","","110","197","2018-12-04","en"
"v7sraU2gbUvXmNXm4lih4MK28iPD3eexJ3JsZE+RgB8=","v7sraU2gbUvXmNXm4lih4MK28iPD3eexJ3JsZE+RgB8=","v7sraU2gbUvXmNXm4lih4MK28iPD3eexJ3JsZE+RgB8=","","Human Rights activist ☮️ Peace should be around the world. I’m concerned about #Political issues in the middle and far east⚠️","","76","448","2018-12-06","en"
"zcX9p7Gc0MonhffiL86sWMKlOctbY1VD5IP0vqECbc8=","zcX9p7Gc0MonhffiL86sWMKlOctbY1VD5IP0vqECbc8=","zcX9p7Gc0MonhffiL86sWMKlOctbY1VD5IP0vqECbc8=","Washington, DC","#Entertainment #journalist and #PR. 
I do improv. I'm gonna change the world. 🌎🇺🇸","","96","395","2017-12-31","en"
"vXNZxXPXPoWclAt4o0T3mfO7oSGN3QC2k+egVcklAzU=","vXNZxXPXPoWclAt4o0T3mfO7oSGN3QC2k+egVcklAzU=","vXNZxXPXPoWclAt4o0T3mfO7oSGN3QC2k+egVcklAzU=","Yemen","حيواني المفضل اللحم البشري 
#اليمن ❤️💪#الحريه_لليمن #الحوثي_قاتل😡","","464","816","2018-03-13","en"
"EgKRdgRg6BLecyaBdUUgRV4G8Rn71ghTJQr2wq1GtfM=","EgKRdgRg6BLecyaBdUUgRV4G8Rn71ghTJQr2wq1GtfM=","EgKRdgRg6BLecyaBdUUgRV4G8Rn71ghTJQr2wq1GtfM=","","تنبيه لقلة من البعض :- هذه صفحة شخصية أكتب فيها ما أرغب أن أكتبه ، لا ما ترغب أن تقرأه ! ✋✋","","524","1118","2018-12-04","en"
"ytjGZXNo5QO1ZY3Sxn+W2SmwDJGZpltLelwKa6r6E=","ytjGZXNo5QO1ZY3Sxn+W2SmwDJGZpltLelwKa6r6E=","ytjGZXNo5QO1ZY3Sxn+W2SmwDJGZpltLelwKa6r6E=","Yemen","اليمن ستتنفس قريباً وسينتهي خراب الحوثه","","112","257","2018-12-04","en"
"Jbciy1kf+c4jsEu2qLWdWEzCuteFXpaDxjX6v2nGGoM=","Jbciy1kf+c4jsEu2qLWdWEzCuteFXpaDxjX6v2nGGoM=","Jbciy1kf+c4jsEu2qLWdWEzCuteFXpaDxjX6v2nGGoM=","Dubaï, Emirats Arabes Unis","‏إَ تنخدُع في منظر إَلنإَسُ يإَخۉۉڪْ*
شف إَلبحَ‘ـِـِر .. شڪْلـہۧ حَلۉ بسُ*
.........مإَلح .!
🇦🇪","","25","97","2018-12-17","en-gb"
"kzpCKCOU9RQ2DDbLqZtYhrj3bSFtYzAirEisnfC9eFI=","kzpCKCOU9RQ2DDbLqZtYhrj3bSFtYzAirEisnfC9eFI=","kzpCKCOU9RQ2DDbLqZtYhrj3bSFtYzAirEisnfC9eFI=","","و لا تمشي في الارض مرحا 👌
#دبي ❤","","48","39","2019-01-20","en"
"Mf+a7snk5HQImJj2T0WGXfboAk7FgJncYorpzeJWo=","Mf+a7snk5HQImJj2T0WGXfboAk7FgJncYorpzeJWo=","Mf+a7snk5HQImJj2T0WGXfboAk7FgJncYorpzeJWo=","Russi, Emilia Romagna","Лили.жорж","","75","128","2019-01-26","en"
"xWZFeKvZ6ZE3jNAz54CqSXpNA7NqaRWXLSpGukcM=","xWZFeKvZ6ZE3jNAz54CqSXpNA7NqaRWXLSpGukcM=","xWZFeKvZ6ZE3jNAz54CqSXpNA7NqaRWXLSpGukcM=","","","","8","118","2015-12-03","fr"
"jMjQP3uX3vOt6eFCa9ddyQyaXlaTtvYNNO9bbccZ8M=","jMjQP3uX3vOt6eFCa9ddyQyaXlaTtvYNNO9bbccZ8M=","jMjQP3uX3vOt6eFCa9ddyQyaXlaTtvYNNO9bbccZ8M=","","","","0","0","2018-03-21","en"
"Js01W5T3razmEu8NKZ0FxuFSxAqABryakvdNEjFht20=","Js01W5T3razmEu8NKZ0FxuFSxAqABryakvdNEjFht20=","Js01W5T3razmEu8NKZ0FxuFSxAqABryakvdNEjFht20=","","","","20","63","2018-06-11","en"
"3cng43DudmY7bOneFPqWhclDW8WeEtDEoCuh1m70vZM=","3cng43DudmY7bOneFPqWhclDW8WeEtDEoCuh1m70vZM=","3cng43DudmY7bOneFPqWhclDW8WeEtDEoCuh1m70vZM=","Egypt","be or not to be","","214","323","2018-09-05","en"
"eVK2xKvcohluqYUtYXJm9ErCCV2L6E+XYGdymMW+Nw=","eVK2xKvcohluqYUtYXJm9ErCCV2L6E+XYGdymMW+Nw=","eVK2xKvcohluqYUtYXJm9ErCCV2L6E+XYGdymMW+Nw=","Yemen","Yemen is a beautiful country and a civilized country🇾🇪❤️","","148","506","2018-09-14","en"
"3d6t6M6lzoC8+w5GOkB4Sery4h6mlTdFufyBRRl+Lc=","3d6t6M6lzoC8+w5GOkB4Sery4h6mlTdFufyBRRl+Lc=","3d6t6M6lzoC8+w5GOkB4Sery4h6mlTdFufyBRRl+Lc=","United States","I love all things travel, and have quirky taste in books,books reader","","0","0","2018-11-22","en"
"bvPerfAtp8WoSMYWkCrdaUyqloahMeR4Dywt77VoME=","bvPerfAtp8WoSMYWkCrdaUyqloahMeR4Dywt77VoME=","bvPerfAtp8WoSMYWkCrdaUyqloahMeR4Dywt77VoME=","Rabat","ربي اجعل حياة اصدقائي واحبائي اهنأ واسعد واجمل من كل توقعاتهم ..اللهم آمين","","0","0","2018-12-16","en"
"zs6VrOdNSSNmlTRC0rC1C0FGTtP5P5eAP42j3XW+Ok=","zs6VrOdNSSNmlTRC0rC1C0FGTtP5P5eAP42j3XW+Ok=","zs6VrOdNSSNmlTRC0rC1C0FGTtP5P5eAP42j3XW+Ok=","","","","0","0","2019-01-20","en"
"JtDSscRpkUpxlC+eLcp8mzp0MZlgLobrKhOd0swo1w=","JtDSscRpkUpxlC+eLcp8mzp0MZlgLobrKhOd0swo1w=","JtDSscRpkUpxlC+eLcp8mzp0MZlgLobrKhOd0swo1w=","","حسناء مرت بفرحة عيد تتجول
على بلادي وهي في الحسن شعبيه
رأيتها قدأكون.أو ربما اتخيل
لأنها في الجمال كانت خياليه #يمانية_وأفتخر❤️#اليمن #عزة_وكرامة 😤","","375","424","2018-03-14","ar"
"pDWCdmiVa7Z55m6WG52UM8CL0SNSkdsC40u1077rkcY=","pDWCdmiVa7Z55m6WG52UM8CL0SNSkdsC40u1077rkcY=","pDWCdmiVa7Z55m6WG52UM8CL0SNSkdsC40u1077rkcY=","UAE","Am what am..!!
UAE 🇦🇪","","668","1745","2018-04-28","en"
"SAH7GzKt4RrS6BhHtUoWiolgLz94W08guEoQ8EdZ1Kg=","SAH7GzKt4RrS6BhHtUoWiolgLz94W08guEoQ8EdZ1Kg=","SAH7GzKt4RrS6BhHtUoWiolgLz94W08guEoQ8EdZ1Kg=","","لك غلا يسكن شراييني، عنك نفسي كيف أصبرها","","1","13","2018-11-07","en"
"seGPN96ePGNIQIyRncINJvHzIZKZiAGtCqVM0oGnAB0=","seGPN96ePGNIQIyRncINJvHzIZKZiAGtCqVM0oGnAB0=","seGPN96ePGNIQIyRncINJvHzIZKZiAGtCqVM0oGnAB0=","","Artist, experimenting with shape and colour.","","0","0","2018-11-25","en"
"2Zee0685gm+xMB2eot3bRmSX8DWF2l5Lmv1v34Zhofw=","2Zee0685gm+xMB2eot3bRmSX8DWF2l5Lmv1v34Zhofw=","2Zee0685gm+xMB2eot3bRmSX8DWF2l5Lmv1v34Zhofw=","","‏الام التي تهز السرير بيمينها تهز العالم بيسارها 🇲🇦🇲🇦","","44","183","2018-12-04","en"
"T8HNnF789o5l5jchQzmhmtSuAXhufG5usJr2XX0DcNk=","T8HNnF789o5l5jchQzmhmtSuAXhufG5usJr2XX0DcNk=","T8HNnF789o5l5jchQzmhmtSuAXhufG5usJr2XX0DcNk=","Yemen","اعشق ترابك يا يمن واعشق كل ما له علاقة بالثقافه اليمنيه","","17","68","2018-12-04","en"
"u92krcWm2WJKHMhw3hhjufgxHCte3EmjZxaQ+xUV23c=","u92krcWm2WJKHMhw3hhjufgxHCte3EmjZxaQ+xUV23c=","u92krcWm2WJKHMhw3hhjufgxHCte3EmjZxaQ+xUV23c=","","Life is full of fake people.Before you decide to judge them, make sure you're not one of them ⚠️","","3","30","2018-12-06","en"
"d6o0j8UXoaceBNTMW79XbalTAGCyB3lQUoUoJRLBPy0=","d6o0j8UXoaceBNTMW79XbalTAGCyB3lQUoUoJRLBPy0=","d6o0j8UXoaceBNTMW79XbalTAGCyB3lQUoUoJRLBPy0=","Yemen","‏حسابي يمثل رأي وأتحاور مع الجميع بعيدا عن التوجه والانتماء فأن أصبت فبتوفيق من عند الله وان اخطأة فمن عجزي وتقصيري ما يهمني قضايا أمتي وأولها قضية بلدي ....","","212","280","2018-09-15","en"
"AcsIrhZkdYSV77AqBvUk1vzhSoRnsHEArt48PnB5v38=","AcsIrhZkdYSV77AqBvUk1vzhSoRnsHEArt48PnB5v38=","AcsIrhZkdYSV77AqBvUk1vzhSoRnsHEArt48PnB5v38=","Yemen","وطني من لي بغيِرك عشقاًُ فـ أعشقهُ !","","92","394","2018-12-05","en"
"gkzoXd8vzX7r8bhYSLMRqBB63w+W6iBKi2XhXJ0bag=","gkzoXd8vzX7r8bhYSLMRqBB63w+W6iBKi2XhXJ0bag=","gkzoXd8vzX7r8bhYSLMRqBB63w+W6iBKi2XhXJ0bag=","United Kingdom","Everything about UK ❤️ Fun stuff ❤️News ❤️and more 🇬🇧🙏","","180","105","2018-12-05","en"
"6HXk2D1mKmAbMK9Nn3VFiTETZTclp3cWYOzfucXerFg=","6HXk2D1mKmAbMK9Nn3VFiTETZTclp3cWYOzfucXerFg=","6HXk2D1mKmAbMK9Nn3VFiTETZTclp3cWYOzfucXerFg=","","","","0","53","2018-06-19","en"
"hZFkmlVmL0flKAxI3wKlzZ7HV446ymXm9KlBMjDXjyw=","hZFkmlVmL0flKAxI3wKlzZ7HV446ymXm9KlBMjDXjyw=","hZFkmlVmL0flKAxI3wKlzZ7HV446ymXm9KlBMjDXjyw=","","","","21","62","2018-07-05","ar"
"5GTNnwl+Q0yj7t3zHBmXSsQgtSm9cwmSUqDs5wu2MV0=","5GTNnwl+Q0yj7t3zHBmXSsQgtSm9cwmSUqDs5wu2MV0=","5GTNnwl+Q0yj7t3zHBmXSsQgtSm9cwmSUqDs5wu2MV0=","Kingdom of Saudi Arabia","ناشطة سعودية أحب وطني","","34","42","2018-07-30","en"
"YUcFBvIZQy9G1lNWXsHxqZyYpWT+0kiQy9Ey5c2JZhk=","YUcFBvIZQy9G1lNWXsHxqZyYpWT+0kiQy9Ey5c2JZhk=","YUcFBvIZQy9G1lNWXsHxqZyYpWT+0kiQy9Ey5c2JZhk=","شبام حضرموت","ويمن فى القب يسكن القلب يملأه 🇾🇪😍","","471","544","2018-09-16","en"
"v7WU5tsFEa+PH+zy0ewML7TPpEWEaPvy4TtJVpSraNY=","v7WU5tsFEa+PH+zy0ewML7TPpEWEaPvy4TtJVpSraNY=","v7WU5tsFEa+PH+zy0ewML7TPpEWEaPvy4TtJVpSraNY=","Tunisia","الترجي عشق .. 🇹🇳🇹🇳","","2","29","2018-11-04","en"
"0wSb8+9Sl6Rx1FxiRcHiwfEkh8IP0+XEhhRA4tUTBxQ=","0wSb8+9Sl6Rx1FxiRcHiwfEkh8IP0+XEhhRA4tUTBxQ=","0wSb8+9Sl6Rx1FxiRcHiwfEkh8IP0+XEhhRA4tUTBxQ=","","Hichem Abdlkarim","","136","394","2018-12-05","en"
"vCwZTB5EsaJMKrqSpgTojZCOes3aTbvvp+HH7eNQLG0=","vCwZTB5EsaJMKrqSpgTojZCOes3aTbvvp+HH7eNQLG0=","vCwZTB5EsaJMKrqSpgTojZCOes3aTbvvp+HH7eNQLG0=","Qatar","‏صيح الشّوق يا حبّي، ويردّد اسمك ويلبّي، ويدعي يحفظك ربّي، بعيد كنت أو جنبي","","66","273","2018-12-23","en"
"McXjNhW294FuVgczx8QmLWtyJtf7BLcyLIVoyNb0TFQ=","McXjNhW294FuVgczx8QmLWtyJtf7BLcyLIVoyNb0TFQ=","McXjNhW294FuVgczx8QmLWtyJtf7BLcyLIVoyNb0TFQ=","","","","1","79","2018-01-03","en"
"WEFGX7Ko1N6eyOFHNlWu6jY9P23Eza5cc3H1KFnS7O4=","WEFGX7Ko1N6eyOFHNlWu6jY9P23Eza5cc3H1KFnS7O4=","WEFGX7Ko1N6eyOFHNlWu6jY9P23Eza5cc3H1KFnS7O4=","","😍انا لحبيبي وحبيبي لا ألي","","132","122","2018-09-06","ar"
